"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000295897 (pp) 9606.ENSP00000339191","false","pp","9606.ENSP00000295897 (pp) 9606.ENSP00000339191","0.06","0.0","0.0","0.0","0.0",,"0.0","0.743","0.738"
"pp","9606.ENSP00000295897 (pp) 9606.ENSP00000369689","false","pp","9606.ENSP00000295897 (pp) 9606.ENSP00000369689","0.06","0.0","0.0","0.0","0.0",,"0.0","0.794","0.79"
"pp","9606.ENSP00000295897 (pp) 9606.ENSP00000364210","false","pp","9606.ENSP00000295897 (pp) 9606.ENSP00000364210","0.0","0.0","0.0","0.0","0.0",,"0.0","0.797","0.797"
"pp","9606.ENSP00000295897 (pp) 9606.ENSP00000387662","false","pp","9606.ENSP00000295897 (pp) 9606.ENSP00000387662","0.069","0.0","0.0","0.0","0.0",,"0.0","0.839","0.834"
"pp","9606.ENSP00000295897 (pp) 9606.ENSP00000306099","false","pp","9606.ENSP00000295897 (pp) 9606.ENSP00000306099","0.668","0.0","0.0","0.05","0.0",,"0.0","0.878","0.645"
"pp","9606.ENSP00000295897 (pp) 9606.ENSP00000379138","false","pp","9606.ENSP00000295897 (pp) 9606.ENSP00000379138","0.521","0.079","0.0","0.0","0.0",,"0.0","0.927","0.848"
"pp","9606.ENSP00000295897 (pp) 9606.ENSP00000421725","false","pp","9606.ENSP00000295897 (pp) 9606.ENSP00000421725","0.686","0.123","0.0","0.0","0.0",,"0.0","0.98","0.936"
"pp","9606.ENSP00000295897 (pp) 9606.ENSP00000308541","false","pp","9606.ENSP00000295897 (pp) 9606.ENSP00000308541","0.652","0.0","0.0","0.052","0.0",,"0.0","0.99","0.973"
"pp","9606.ENSP00000297904 (pp) 9606.ENSP00000369375","false","pp","9606.ENSP00000297904 (pp) 9606.ENSP00000369375","0.061","0.0","0.65","0.042","0.0",,"0.0","0.865","0.623"
"pp","9606.ENSP00000301408 (pp) 9606.ENSP00000482232","false","pp","9606.ENSP00000301408 (pp) 9606.ENSP00000482232","0.103","0.0","0.9","0.98","0.0",,"0.0","0.999","0.94"
"pp","9606.ENSP00000305372 (pp) 9606.ENSP00000428994","false","pp","9606.ENSP00000305372 (pp) 9606.ENSP00000428994","0.0","0.0","0.0","0.1","0.0",,"0.0","0.706","0.687"
"pp","9606.ENSP00000305372 (pp) 9606.ENSP00000358301","false","pp","9606.ENSP00000305372 (pp) 9606.ENSP00000358301","0.049","0.0","0.9","0.237","0.0",,"0.0","0.956","0.469"
"pp","9606.ENSP00000305675 (pp) 9606.ENSP00000339191","false","pp","9606.ENSP00000305675 (pp) 9606.ENSP00000339191","0.141","0.0","0.0","0.423","0.0",,"0.0","0.946","0.901"
"pp","9606.ENSP00000306099 (pp) 9606.ENSP00000381133","false","pp","9606.ENSP00000306099 (pp) 9606.ENSP00000381133","0.542","0.0","0.72","0.0","0.0",,"0.0","0.885","0.174"
"pp","9606.ENSP00000306099 (pp) 9606.ENSP00000356382","false","pp","9606.ENSP00000306099 (pp) 9606.ENSP00000356382","0.325","0.0","0.5","0.331","0.0",,"0.0","0.905","0.628"
"pp","9606.ENSP00000306099 (pp) 9606.ENSP00000421725","false","pp","9606.ENSP00000306099 (pp) 9606.ENSP00000421725","0.831","0.0","0.0","0.226","0.0",,"0.0","0.931","0.516"
"pp","9606.ENSP00000306099 (pp) 9606.ENSP00000308541","false","pp","9606.ENSP00000306099 (pp) 9606.ENSP00000308541","0.768","0.0","0.9","0.9","0.0",,"0.0","0.999","0.836"
"pp","9606.ENSP00000306490 (pp) 9606.ENSP00000399745","false","pp","9606.ENSP00000306490 (pp) 9606.ENSP00000399745","0.053","0.059","0.9","0.0","0.0",,"0.0","0.908","0.095"
"pp","9606.ENSP00000306606 (pp) 9606.ENSP00000362549","false","pp","9606.ENSP00000306606 (pp) 9606.ENSP00000362549","0.062","0.0","0.65","0.0","0.0",,"0.0","0.704","0.172"
"pp","9606.ENSP00000306606 (pp) 9606.ENSP00000343838","false","pp","9606.ENSP00000306606 (pp) 9606.ENSP00000343838","0.06","0.0","0.65","0.0","0.0",,"0.0","0.715","0.205"
"pp","9606.ENSP00000308541 (pp) 9606.ENSP00000421725","false","pp","9606.ENSP00000308541 (pp) 9606.ENSP00000421725","0.694","0.0","0.0","0.0","0.0",,"0.0","0.792","0.349"
"pp","9606.ENSP00000308541 (pp) 9606.ENSP00000366416","false","pp","9606.ENSP00000308541 (pp) 9606.ENSP00000366416","0.06","0.0","0.9","0.052","0.0",,"0.0","0.91","0.116"
"pp","9606.ENSP00000308541 (pp) 9606.ENSP00000356382","false","pp","9606.ENSP00000308541 (pp) 9606.ENSP00000356382","0.287","0.0","0.9","0.046","0.0",,"0.0","0.95","0.359"
"pp","9606.ENSP00000308541 (pp) 9606.ENSP00000379138","false","pp","9606.ENSP00000308541 (pp) 9606.ENSP00000379138","0.645","0.0","0.0","0.052","0.0",,"0.0","0.973","0.928"
"pp","9606.ENSP00000308970 (pp) 9606.ENSP00000382334","false","pp","9606.ENSP00000308970 (pp) 9606.ENSP00000382334","0.765","0.051","0.0","0.19","0.0",,"0.0","0.806","0.057"
"pp","9606.ENSP00000308970 (pp) 9606.ENSP00000384770","false","pp","9606.ENSP00000308970 (pp) 9606.ENSP00000384770","0.783","0.049","0.0","0.362","0.0",,"0.0","0.907","0.382"
"pp","9606.ENSP00000308970 (pp) 9606.ENSP00000332215","false","pp","9606.ENSP00000308970 (pp) 9606.ENSP00000332215","0.783","0.049","0.0","0.793","0.0",,"0.0","0.954","0.054"
"pp","9606.ENSP00000316152 (pp) 9606.ENSP00000364210","false","pp","9606.ENSP00000316152 (pp) 9606.ENSP00000364210","0.743","0.0","0.0","0.0","0.0",,"0.0","0.87","0.516"
