"gene_id","biomart_id","entrez_id","gene_name","log2FoldChange","pvalue","padj"
"ENSG00000228476.2","ENSG00000228476","1480","CSTP1",1.283515054836,0.00137310605102166,0.00278307102902742
"ENSG00000214514.8","ENSG00000214514",NA,NA,-1.28344515970303,3.83723525300647e-07,1.27209002731157e-06
"ENSG00000273890.1","ENSG00000273890",NA,NA,1.28331151670832,1.18951664674591e-08,4.69059827200865e-08
"ENSG00000227404.1","ENSG00000227404","441218","KRT8P20",1.28329741666781,6.57820488333258e-06,1.87389136381115e-05
"ENSG00000230337.1","ENSG00000230337",NA,NA,1.28314233914934,8.89354924070072e-14,5.67327485299258e-13
"ENSG00000116128.11","ENSG00000116128","607","BCL9",1.28308003100233,2.6635332525829e-39,8.89920337072042e-38
"ENSG00000255794.9","ENSG00000255794","196475","RMST",-1.28303361105621,7.62390861521219e-05,0.000188191113572329
"ENSG00000265218.1","ENSG00000265218",NA,NA,1.28301793086037,9.39780454988922e-05,0.000228773257754337
"ENSG00000253347.1","ENSG00000253347",NA,NA,1.28266210845527,2.19924317083469e-07,7.49581218719189e-07
"ENSG00000261654.1","ENSG00000261654",NA,NA,1.28258448023942,6.30881550029292e-11,3.14501621798125e-10
"ENSG00000201818.1","ENSG00000201818","100379564","RNY4P17",1.28253594443801,0.0218720508475469,0.0356375352336591
"ENSG00000151498.12","ENSG00000151498","27034","ACAD8",1.28251641337237,1.41692720422727e-23,1.88532543288584e-22
"ENSG00000271781.1","ENSG00000271781",NA,NA,1.28245664293171,1.08415734599296e-13,6.87395557325698e-13
"ENSG00000278732.1","ENSG00000278732",NA,NA,-1.2823953031545,3.04177253951158e-05,7.94141043479341e-05
"ENSG00000228526.7","ENSG00000228526","106614088","MIR34AHG",1.28232929264962,5.39583367449328e-18,4.77526381816311e-17
"ENSG00000279196.1","ENSG00000279196",NA,NA,1.28225279079803,9.27739264268784e-13,5.44395315465587e-12
"ENSG00000231992.1","ENSG00000231992",NA,NA,1.28206275685351,0.0287154825359179,0.045751416552923
